"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSB:Dn1okZrlXBCAWFF",93.1064459030346,-6.67378447599206,1.32286197733519,-5.04495902848152,4.53618559960747e-07,0.000991156553514232
"ENSB:lbmqEoI-28se-5N",113.25541908276,-3.48673662573812,0.78779386343695,-4.42595047710368,9.60185524553186e-06,0.0104900268557436
